gender,family_support,internet,higher_edu,activities,romantic,absences,study_time,failures,G1,G2,G3
F,high,0,1,0,0,4,2,0,0,11,11
F,low,1,1,0,0,2,2,0,9,11,11
F,low,1,1,0,0,6,2,0,12,13,12
F,high,1,1,1,1,0,3,0,14,14,14
F,medium,0,1,0,0,0,2,0,11,13,13
M,high,1,1,1,0,6,2,0,12,12,13
M,medium,1,1,0,0,0,2,0,13,12,13
F,high,0,1,0,0,2,2,0,10,13,13
M,medium,1,1,0,0,0,2,0,15,16,17
M,medium,1,1,1,0,0,2,0,12,12,13
F,high,1,1,0,0,2,2,0,14,14,14
F,medium,1,1,1,0,0,3,0,10,12,13
M,high,1,1,1,0,0,1,0,12,13,12
M,high,1,1,0,0,0,2,0,12,12,13
M,medium,1,1,0,1,0,3,0,14,14,15
F,high,1,1,0,0,6,1,0,17,17,17
F,high,1,1,1,0,10,3,0,13,13,14
F,medium,0,1,1,0,2,2,0,13,14,14
M,medium,1,1,1,0,2,1,3,8,8,7
M,high,1,1,1,0,6,1,0,12,12,12
M,high,1,1,0,0,0,2,0,12,13,14
M,high,1,1,0,0,0,1,0,11,12,12
M,high,1,1,1,0,0,2,0,12,13,14
M,medium,1,1,1,0,2,2,0,10,10,10
F,medium,1,1,1,0,2,3,0,10,11,10
F,medium,1,1,0,0,6,1,0,10,11,12
M,medium,1,1,0,0,8,1,0,11,12,12
M,high,1,1,0,0,0,1,0,11,11,11
M,medium,1,1,1,0,2,2,0,12,12,13
M,high,1,1,1,1,4,2,0,12,11,12
M,high,1,1,0,0,0,2,0,10,11,11
M,high,1,1,1,0,2,2,0,15,15,15
M,high,1,1,1,1,0,2,0,13,14,15
M,medium,1,1,1,0,0,2,0,13,12,12
M,medium,1,1,0,0,4,1,0,12,12,12
F,medium,0,1,1,0,4,1,0,11,11,11
M,high,1,1,1,0,0,3,0,14,14,14
M,high,1,1,1,1,4,3,0,13,13,13
F,medium,1,1,1,0,2,3,0,11,12,12
F,medium,0,1,1,0,8,1,0,14,13,12
